Ring;Nimi;Aeg;Sektor1;Sektor2;Sektor3;Viga
1;Marko;74.533;23.812;26.385;24.336;False
2;Marko;75.69;26.106;23.6;25.984;False
3;Marko;77.792;26.621;26.411;24.76;False
4;Marko;72.979;26.092;23.731;23.156;False
5;Marko;73.66;24.042;24.475;25.143;False
6;Marko;75.807;25.631;25.336;24.84;False
7;Marko;74.88;24.295;24.711;25.874;False
8;Marko;75.312;24.504;25.85;24.958;False
9;Marko;169.965;55.634;31.194;83.137;True
10;Marko;76.011;26.034;25.965;24.012;False
1;Max;74.835;24.536;25.755;24.544;False
2;Max;77.627;26.811;24.226;26.59;False
3;Max;75.537;24.994;26.215;24.328;False
4;Max;76.821;25.91;24.222;26.689;False
5;Max;80.04;26.919;26.859;26.262;False
6;Max;74.53999999999999;25.998;24.677;23.865;False
7;Max;74.22200000000001;24.364;24.828;25.03;False
8;Max;76.177;26.556;23.266;26.355;False
9;Max;74.409;24.353;24.005;26.051;False
10;Max;76.238;23.458;26.049;26.731;False
1;Lewis;76.971;25.43;26.325;25.216;False
2;Lewis;188.306;79.522;64.514;44.27;True
3;Lewis;74.90899999999999;23.397;26.957;24.555;False
4;Lewis;74.31700000000001;26.762;23.319;24.236;False
5;Lewis;76.842;25.79;25.648;25.404;False
6;Lewis;73.234;23.014;23.542;26.678;False
7;Lewis;75.503;25.73;23.181;26.592;False
8;Lewis;74.655;26.687;23.34;24.628;False
9;Lewis;76.78999999999999;26.758;24.589;25.443;False
10;Lewis;74.041;23.134;24.891;26.016;False
1;Valtteri;153.536;31.312;80.13;42.094;True
2;Valtteri;73.613;24.511;23.725;25.377;False
3;Valtteri;76.449;26.997;26.041;23.411;False
4;Valtteri;76.258;25.789;23.522;26.947;False
5;Valtteri;74.438;24.989;23.142;26.307;False
6;Valtteri;76.049;24.684;24.395;26.97;False
7;Valtteri;72.14500000000001;24.359;23.696;24.09;False
8;Valtteri;76.791;26.117;26.956;23.718;False
9;Valtteri;75.387;25.731;26.331;23.325;False
10;Valtteri;127.40799999999999;40.556;40.72;46.132;True
1;Nico;76.00099999999999;23.237;26.39;26.374;False
2;Nico;75.625;23.171;26.002;26.452;False
3;Nico;73.02199999999999;23.237;25.093;24.692;False
4;Nico;74.38199999999999;23.771;25.615;24.996;False
5;Nico;166.998;36.021;56.288;74.689;True
6;Nico;73.97399999999999;24.659;23.409;25.906;False
7;Nico;75.06;26.4;23.646;25.014;False
8;Nico;76.77;26.22;25.753;24.797;False
9;Nico;73.131;25.032;23.171;24.928;False
10;Nico;75.732;24.854;25.271;25.607;False
